object_id,Title,Date,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
34445,Map of the Royal and Capital City of Lwow,1902,10_pict,Ihor Kotlobulatov,Lviv,"Lviv, Lemberg, Lwów",Ihor Kotlobulatov,H. Altenberg's Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34445
34446,Lwow-Leopol-Lemberg-Lviv,c. 1909,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lwow, Lemberg, Lviv",Ryszard Hubisz,The Society for the Promotion of Foreign Travel in Galicia. Сrakow,https://uma.lvivcenter.org/en/maps/34446
34447,Plan of the Royal and Capital City of Lwow with data on new names of streets and squares,1877,10_pict,Ihor Kotlobulatov,Lviv,"Lwow, Lviv, Lemberg",Ihor Kotlobulatov,K. Wild's Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34447
34448,Plan of Lviv,1905,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lemberg, Lwow, Lviv",Ryszard Hubisz,Prosvita Society. Lviv,https://uma.lvivcenter.org/en/maps/34448
34449,Lvov. Tourist map,1977,10_pict,Ihor Kotlobulatov,Lviv,"Lvov, Lwow",Ihor Kotlobulatov,Main Department of Geodesy and Cartography under the Council of Ministers of the USSR. Moscow,https://uma.lvivcenter.org/en/maps/34449
34450,Plan of the City of Stanisławow,1904,Ryszard_Hubisz,Ryszard Hubisz,Ivano-Frankivsk,"Stanislawow, Ivano-Frankivsk",Ryszard Hubisz,Unknow,https://uma.lvivcenter.org/en/maps/34450
34451,Plan of Lwów. Second Edition,1925,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lwów, Lviv",Ryszard Hubisz,Ksiaznica-Atlas. Lviv-Warsaw,https://uma.lvivcenter.org/en/maps/34451
34452,Plan of the City of Stanisławow,c. 1931,Ryszard_Hubisz,Ryszard Hubisz,Ivano-Frankivsk,"Stanislawow, Ivano-Frankivsk",Ryszard Hubisz,Roman Jasielski's Bookstore. Ivano-Frankivsk,https://uma.lvivcenter.org/en/maps/34452
34453,Stanislaw,c. 1800,Austrian_War_Archive,Austrian War Archive,Ivano-Frankivsk,"Stanislawow, Ivano-Frankivsk","Austrian War Archive, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34453
34454,City of Lviv,c. 1887,Austrian_War_Archive,Austrian War Archive,Lviv,"Lemberg, Lwów, Lviv","Austrian War Archive, Vienna",Jendrzej Kostkiewicz. Lviv,https://uma.lvivcenter.org/en/maps/34454
34455,Plan of the Royal and Capital City of Lwow,c. 1895,10_pict,Ihor Kotlobulatov,Lviv,"Львів, Лемберг",Ihor Kotlobulatov,Municipal Council. Lviv,https://uma.lvivcenter.org/en/maps/34455
34457,The Newest Detailed Plan of the Royal Capital City of Lwow,1892,Ryszard_Hubisz,Ryszard Hubisz,Lviv,"Lemberg, Lwów, Lviv",Ryszard Hubisz,Herman Altenberg's Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34457
34458,Regulation Plan of the Truskawiec Resort,c. 1907,26_pict,State Archives of Lviv Region,Truskavets,"Truskavets, Truskawiec",State Archives of Lviv Region,County Construction Department. Drohobych,https://uma.lvivcenter.org/en/maps/34458
34459,Lemberg (Lwów),1911,42_pict,Oksana Zayachkivska,Lviv,"Lwów, Lemberg, Lviv",Oksana Zayachkivska,Geographic Establishment Wagner &amp; Debes. Leipzig,https://uma.lvivcenter.org/en/maps/34459
