URI	id
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41582	41582
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41573	41573
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41864	41864
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41868	41868
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41887	41887
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41867	41867
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41888	41888
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41862	41862
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41863	41863
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41890	41890
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41891	41891
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41892	41892
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41613	41613
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41623	41623
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41110	41110
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41489	41489
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:190117	190117
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:190128	190128
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41255	41255
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40930	40930
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41259	41259
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41791	41791
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41780	41780
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41647	41647
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41886	41886
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40935	40935
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40929	40929
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40936	40936
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40932	40932
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40931	40931
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40933	40933
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40938	40938
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40934	40934
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:40939	40939
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:33957	33957
https://easy.dans.knaw.nl/oai/?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:easy.dans.knaw.nl:easy-dataset:41482	41482
